epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1622.09,0.28282,0.25288,0.84305,0.81034,0.68047,0.77473,0.55742,1.12736,1.11108,1.69822,0.0006585,0.0006585,0.0006585
70,1644.87,0.27871,0.2552,0.84541,0.73774,0.72407,0.78165,0.55826,1.12046,1.19299,1.66752,0.000646125,0.000646125,0.000646125
71,1667.73,0.2874,0.26365,0.85434,0.78701,0.69967,0.76543,0.55646,1.06133,1.10978,1.59094,0.00063375,0.00063375,0.00063375
72,1690.57,0.28428,0.25463,0.85308,0.78546,0.7071,0.77485,0.56409,1.09138,1.12739,1.63954,0.000621375,0.000621375,0.000621375
73,1713.36,0.27702,0.24927,0.84531,0.79825,0.70236,0.78976,0.5737,1.10707,1.10967,1.6994,0.000609,0.000609,0.000609
74,1736.33,0.26943,0.24583,0.84285,0.82491,0.683,0.7776,0.55219,1.12707,1.11843,1.6849,0.000596625,0.000596625,0.000596625
75,1759.24,0.26745,0.24232,0.83595,0.75388,0.68343,0.76733,0.55588,1.11342,1.19381,1.6868,0.00058425,0.00058425,0.00058425
76,1782.08,0.26204,0.23303,0.83475,0.78187,0.7071,0.7996,0.5629,1.13482,1.08119,1.698,0.000571875,0.000571875,0.000571875
77,1804.9,0.26677,0.24699,0.84804,0.84249,0.68639,0.80581,0.58455,1.1045,1.11858,1.65103,0.0005595,0.0005595,0.0005595
78,1827.83,0.26534,0.23638,0.84104,0.80543,0.71035,0.78564,0.56508,1.08193,1.1154,1.6429,0.000547125,0.000547125,0.000547125
79,1850.67,0.25352,0.2259,0.83215,0.78874,0.72902,0.78609,0.56177,1.16763,1.15491,1.74698,0.00053475,0.00053475,0.00053475
80,1873.52,0.2596,0.23465,0.84157,0.83919,0.68639,0.78381,0.56717,1.08216,1.06386,1.63837,0.000522375,0.000522375,0.000522375
81,1896.37,0.24432,0.22069,0.82736,0.83889,0.66272,0.77332,0.56733,1.13682,1.22707,1.69137,0.00051,0.00051,0.00051
82,1919.26,0.24279,0.22249,0.8282,0.76404,0.70891,0.77463,0.56259,1.117,1.14827,1.6768,0.000497625,0.000497625,0.000497625
83,1942.4,0.24031,0.21912,0.82112,0.79546,0.71598,0.78595,0.57985,1.1254,1.14998,1.68599,0.00048525,0.00048525,0.00048525
